Cluster;P-resin;Pi-NaHCO3;Po-NaHCO3;Pi-NaOH;Po-NaOH;P-HCl;P-residual;C;Fv
1;0.001624258545811207;0.00015451038842113633;7.58164208010659e-05;6.757380907822487e-05;0.0002409582307595487;9.048963244415424e-05;0.00010974838281510073;0.397530074667055;0.6001065699228145
2;0.004096205991230654;0.001284797190023652;0.00019877905915454409;0.0013266698342032151;0.0003781484642261426;0.004474030113441786;0.00019518377102902947;0.36605465645956636;0.6219915291171246
3;0.0017313006342627945;0.0007691355431089902;9.184105131263912e-05;6.031186877472854e-05;0.0003398917402940202;0.0018752040863499117;0.00022522009442999232;0.22513121262394895;0.769775882357518
